"id","name","status","category","cost","useful_life","salvage_value","funding_details","depreciation_strategy"
99,"Christian","in transit","hardware",85495.39480538695,7.95692748277339,8234.801997985996,"purchased","straight line"
100,"Walter","disposed","hardware",25012.114805100082,2.5264852989148574,9220.742054203542,"purchased","straight line"
101,"Brandon","in transit","hardware",64084.99194966707,8.988181005747961,9129.088183342388,"purchased","straight line"
102,"David","in transit","hardware",484.35998391568313,2.7925971659484667,648.1190950367766,"purchased","straight line"
103,"Anthony","in use","hardware",88191.35859957742,9.755441181182423,6420.173704121792,"purchased","straight line"
104,"Scott","disposed","hardware",84073.21252047521,8.416493424066871,8370.37302061032,"purchased","straight line"
105,"Anthony","in use","hardware",42557.51931259163,3.0705103878457227,9365.703566453192,"purchased","straight line"
106,"Lawrence","in storage","hardware",97965.5213849919,4.62614962676637,5698.526413815339,"purchased","straight line"
107,"Russell","in repair","hardware",22947.044207516054,8.414700387417694,6027.540697952677,"purchased","straight line"
108,"Jacob","other","hardware",35106.16300983312,1.933356324851513,3549.5074296789476,"purchased","straight line"
109,"Jesse","in use","hardware",80913.13568404193,8.783464349639736,5606.735639444478,"purchased","straight line"
110,"Eric","in repair","hardware",39647.64863086575,6.167042070403752,8405.598081808263,"purchased","straight line"
111,"Sean","in transit","hardware",24423.080081710392,1.127122556418828,7142.476382713322,"purchased","straight line"
112,"Aaron","in storage","hardware",70089.75626954182,1.9232522678185373,6159.444098641496,"purchased","straight line"
113,"Billy","other","hardware",34704.10602702369,5.002087854002859,8313.564841354151,"purchased","straight line"
114,"Justin","other","hardware",61826.15809008726,5.292421471645119,9626.614275865477,"purchased","straight line"
115,"Jack","in use","hardware",15173.838950628382,4.0697715824604925,6582.402267556363,"purchased","straight line"
116,"Thomas","disposed","hardware",63786.68492173312,6.900124731959368,8417.761516799943,"purchased","straight line"
117,"Aaron","in transit","hardware",46236.757106566154,5.713345707626598,4475.875829167242,"purchased","straight line"
118,"Douglas","in use","hardware",47446.78261325921,4.900924477154579,6782.832735424535,"purchased","straight line"
119,"Stephen","in transit","hardware",29920.12512072224,1.2653973934172524,7947.604628781113,"purchased","straight line"
120,"Robert","in repair","hardware",12392.338828178285,4.371814716362088,7440.378425543384,"purchased","straight line"
121,"Charles","in use","hardware",68082.30836898494,7.890998256299182,8745.925846906264,"purchased","straight line"
122,"Vincent","other","hardware",51557.293676546935,2.7751989649749524,6575.226512589922,"purchased","straight line"
123,"Logan","in transit","hardware",36371.04138334734,8.75118347583945,5767.008219336365,"purchased","straight line"
124,"Christopher","disposed","hardware",88503.80021802492,8.999932854392096,6286.956234892981,"purchased","straight line"
125,"Scott","in use","hardware",50227.61992640058,7.469711195226199,4333.091014371948,"purchased","straight line"
126,"George","other","hardware",50541.60994186532,1.3476458478590163,9387.680517199038,"purchased","straight line"
127,"Jerry","in transit","hardware",83050.12563806739,4.178378676596466,9058.58713346698,"purchased","straight line"
128,"Zachary","in transit","hardware",68651.0672743049,2.5475979567166793,8157.514397082457,"purchased","straight line"
129,"Scott","disposed","hardware",39721.3786641528,3.3527642498265875,43.52523868199509,"purchased","straight line"
130,"Kyle","in transit","hardware",4117.429469530786,9.49660540485146,3633.919909651061,"purchased","straight line"
131,"Charles","disposed","hardware",71109.69466754614,6.787805743879553,1781.5836818617058,"purchased","straight line"
132,"Jerry","other","hardware",39899.922090769534,3.337691599103149,9597.158401050334,"purchased","straight line"
133,"Austin","disposed","hardware",81455.46758053069,7.195880751054078,7276.494199215382,"purchased","straight line"
134,"Matthew","in use","hardware",64241.252253579216,8.537981548989599,7364.22265362584,"purchased","straight line"
135,"Albert","in use","hardware",56742.712228170734,9.95830648079862,7483.2078716729575,"purchased","straight line"
136,"Matthew","in storage","hardware",43987.15773460286,5.7689115422315504,9017.554632015625,"purchased","straight line"
137,"Matthew","in storage","hardware",28192.315314046522,1.5382866842108371,2623.1388731183615,"purchased","straight line"
138,"Jason","other","hardware",12546.948123072221,1.5592321227572916,9248.439358775102,"purchased","straight line"
139,"Jerry","other","hardware",2864.911108212409,1.6104318602334275,9335.678432040411,"purchased","straight line"
140,"Jacob","in repair","hardware",23599.825232193107,6.141901848133988,91.29657740084562,"purchased","straight line"
141,"Logan","in storage","hardware",62801.53658716631,4.463212918462826,2232.437093324029,"purchased","straight line"
142,"Noah","disposed","hardware",61425.83158142411,2.137854652453172,2101.929060043869,"purchased","straight line"
143,"Louis","in use","hardware",996.6916257863834,3.4867733718775464,5843.594611796831,"purchased","straight line"
144,"Philip","disposed","hardware",92443.70045785769,5.289985829369567,7175.200634035385,"purchased","straight line"
145,"Eric","in transit","hardware",63116.73259543287,2.862518718765426,1645.408256470836,"purchased","straight line"
146,"Alan","in use","hardware",67412.29286776322,2.092834465728425,5918.783548131528,"purchased","straight line"
147,"Alan","in storage","hardware",77130.66577853612,1.0009997167986402,3332.653052246288,"purchased","straight line"
148,"Christopher","in transit","hardware",94203.99513538988,2.5145941735980055,1173.0204083208728,"purchased","straight line"
149,"David","in storage","hardware",76647.23109009227,3.3365318447581984,7218.339853845153,"purchased","straight line"
150,"Keith","in storage","hardware",31275.647215185676,5.445488537761998,628.0151734270368,"purchased","straight line"
151,"Dennis","in repair","hardware",93664.2237045045,3.9273987824546657,9902.45010176877,"purchased","straight line"
152,"Tyler","in storage","hardware",432.24309195437627,4.465956365218649,756.2272828096139,"purchased","straight line"
153,"James","in storage","hardware",98436.68619741214,2.3859726670112407,3936.35301141286,"purchased","straight line"
154,"Jacob","in transit","hardware",22914.33345113557,1.6511707625199796,5238.90880800236,"purchased","straight line"
155,"Jesse","in transit","hardware",64689.89895199762,9.528054548021922,3630.495144104705,"purchased","straight line"
156,"Alan","disposed","hardware",80187.81469295184,6.522465866915015,8435.649371679394,"purchased","straight line"
157,"Jeremy","other","hardware",97596.05556797303,5.878229315201545,1207.2383410222976,"purchased","straight line"
158,"Jeffrey","other","hardware",83446.49579325339,6.076813582737536,9874.790886306671,"purchased","straight line"
159,"Scott","other","hardware",9128.65102452628,5.11799910341435,3927.4372916908064,"purchased","straight line"
160,"Benjamin","other","hardware",98573.0802319068,3.2591825169355952,6984.83525999757,"purchased","straight line"
161,"Nathan","other","hardware",54232.84683150662,4.505258784504868,2049.1599951515395,"purchased","straight line"
162,"Ronald","in transit","hardware",54066.832991075076,9.94205917880773,1391.6437486400957,"purchased","straight line"
163,"James","in use","hardware",37714.95687979826,1.0932444409944095,7686.882880120017,"purchased","straight line"
164,"Bobby","other","hardware",15639.430805412912,2.549480619537955,9473.93732867132,"purchased","straight line"
165,"Keith","other","hardware",42496.74706446792,6.087374173708395,7830.647242230594,"purchased","straight line"
166,"Christopher","in use","hardware",32513.259698726826,6.899450351704831,4727.9149840776945,"purchased","straight line"
167,"Bryan","in use","hardware",44049.43038296793,9.210922037931901,1383.1370928599385,"purchased","straight line"
168,"Nicholas","in transit","hardware",72006.52200631698,2.6624568118551615,1365.6770504444594,"purchased","straight line"
169,"John","in repair","hardware",52529.472937569546,1.4753678547268696,1855.3312096165598,"purchased","straight line"
170,"Philip","other","hardware",77991.16407937804,5.839004104539641,9997.694777645422,"purchased","straight line"
171,"Steven","in use","hardware",87820.52688296502,7.072068478897906,3013.0621727314287,"purchased","straight line"
172,"Ethan","other","hardware",13479.31000337157,8.801861414502746,5486.77533425463,"purchased","straight line"
173,"Kenneth","other","hardware",99861.31589698244,3.582284402088386,5989.846536312272,"purchased","straight line"
174,"Carl","other","hardware",59335.72022520985,6.3463501424517705,6965.84120456296,"purchased","straight line"
175,"Russell","disposed","hardware",45274.09206664247,4.343994853855131,27.782583052607947,"purchased","straight line"
176,"Thomas","other","hardware",10525.51802603513,9.567496952175121,4695.270227481171,"purchased","straight line"
177,"Jack","in transit","hardware",14777.575420200028,2.220640046437256,8488.343664894426,"purchased","straight line"
178,"Edward","in transit","hardware",33476.23247386322,4.755996684196399,2758.2067609420756,"purchased","straight line"
179,"Benjamin","in transit","hardware",76344.90897914775,3.0730732338329694,4839.953730806358,"purchased","straight line"
180,"Roger","in transit","hardware",70773.7019430405,5.979574947670274,471.58529502871806,"purchased","straight line"
181,"Alexander","disposed","hardware",64687.74717050433,3.18146995834437,9288.907245924685,"purchased","straight line"
182,"Michael","other","hardware",84423.8918839868,2.8073875083964834,5816.515381215854,"purchased","straight line"
183,"Bradley","disposed","hardware",19487.256611821726,4.803574346390089,4091.119716760182,"purchased","straight line"
184,"Carl","in storage","hardware",20009.387991014548,2.3867856994744425,4876.5233987125985,"purchased","straight line"
185,"Timothy","disposed","hardware",31400.887820069544,9.54856863261845,8578.097434165014,"purchased","straight line"
186,"Austin","in storage","hardware",13435.396205617035,7.0241353230762735,9338.735910713536,"purchased","straight line"
187,"Zachary","in transit","hardware",5845.56904112361,5.68352397946491,7621.954843106015,"purchased","straight line"
188,"Albert","in repair","hardware",10089.379480483729,3.7479655393176783,8665.99075526831,"purchased","straight line"
189,"Gary","disposed","hardware",94360.64471542623,3.4780639401063733,3585.269873755237,"purchased","straight line"
190,"Edward","other","hardware",18049.64090293101,2.7621624110561633,6040.831308876802,"purchased","straight line"
191,"Joshua","disposed","hardware",93356.11209839764,3.264301482837191,9607.74332741027,"purchased","straight line"
192,"Donald","in transit","hardware",68617.36253270398,8.434083873470607,868.2751178106096,"purchased","straight line"
193,"Tyler","in transit","hardware",49812.87632359913,8.987211738868108,9433.025632724904,"purchased","straight line"
194,"Peter","in transit","hardware",87999.43122788328,2.374699764315814,307.557811101683,"purchased","straight line"
195,"Matthew","in storage","hardware",72987.10108562114,1.5510828918676605,8714.117312767263,"purchased","straight line"
196,"Alexander","in storage","hardware",15674.152581432278,2.5354720680298515,3199.145960583899,"purchased","straight line"
197,"Noah","in repair","hardware",38573.839741402335,5.895574976362014,4228.410517134919,"purchased","straight line"
198,"Alan","disposed","hardware",84148.3803795002,7.050948131693142,5381.069605307401,"purchased","straight line"
199,"Kyle","in repair","hardware",87466.73457240796,8.146743695027578,1983.8659699237483,"purchased","straight line"
200,"Patrick","in use","hardware",1429.0691809829004,3.2379541528054334,1409.2977875689282,"purchased","straight line"
201,"Jeremy","in storage","hardware",56755.91006058358,6.137102214710581,5187.054608713893,"purchased","straight line"
202,"Johnny","disposed","hardware",85276.45028018541,3.5955843445089175,3934.4368775091175,"purchased","straight line"
203,"Austin","other","hardware",66378.65567252546,8.438942101368589,4989.518833011567,"purchased","straight line"
204,"Walter","disposed","hardware",12167.556489724175,6.978900043361857,7566.1494465796195,"purchased","straight line"
205,"Joshua","other","hardware",72594.87401166071,1.1267960887298736,5929.2847177518015,"purchased","straight line"
206,"Terry","in transit","hardware",88880.12123309176,4.976932346699234,1575.4515790854073,"purchased","straight line"
207,"Billy","in storage","hardware",22741.537383520903,8.074843955433092,6448.760977614914,"purchased","straight line"
208,"Paul","disposed","hardware",65367.76890339572,2.5488732554510296,9842.519162033816,"purchased","straight line"
209,"Harold","other","hardware",16004.619964750877,8.88309064688009,9155.3906050629,"purchased","straight line"
210,"Anthony","disposed","hardware",48325.86643861952,6.813604178922973,7768.457317436084,"purchased","straight line"
211,"Harold","in use","hardware",53199.92370874934,1.4022602366279195,3671.1383674527797,"purchased","straight line"
212,"Brandon","disposed","hardware",73979.90817112787,8.141225941342073,2590.627367954569,"purchased","straight line"
213,"Steven","in transit","hardware",20045.475960763128,3.26023349855613,6851.622306355338,"purchased","straight line"
214,"Ralph","in use","hardware",16959.974546685353,7.060135815895828,1826.5109521459622,"purchased","straight line"
215,"Nicholas","other","hardware",56298.251543927836,7.38082399893055,8344.28812946296,"purchased","straight line"
216,"Bryan","other","hardware",20759.290928253173,2.5123024824926876,6485.766295760553,"purchased","straight line"
217,"Henry","in use","hardware",76490.47432471697,7.402014137250161,3611.2673423029582,"purchased","straight line"
218,"Arthur","in use","hardware",52866.60415471075,6.033770920482024,748.5526879610716,"purchased","straight line"
219,"Nathan","in repair","hardware",53921.90780452317,4.156130936506762,5165.607881341753,"purchased","straight line"
220,"Vincent","disposed","hardware",65631.23269822059,5.733539872284676,6879.027838132742,"purchased","straight line"
221,"Jose","in use","hardware",27546.785988960677,8.116970381320268,8706.678803947048,"purchased","straight line"
222,"Arthur","disposed","hardware",80234.92666001504,8.292855374778004,6515.980911421866,"purchased","straight line"
223,"Ethan","in use","hardware",39262.17131233655,1.1203732827074622,8619.923814044958,"purchased","straight line"
224,"Benjamin","disposed","hardware",72832.00362790716,9.540552816463626,5510.088545894721,"purchased","straight line"
225,"Richard","other","hardware",59326.24086091785,2.8498485104884974,6667.848188084754,"purchased","straight line"
226,"Steven","in storage","hardware",55063.17992739186,5.874078813101603,6812.94522871473,"purchased","straight line"
227,"Adam","in storage","hardware",74890.25866285535,2.7863938825031354,6242.99788045886,"purchased","straight line"
228,"Juan","other","hardware",29170.386981264863,1.4936664730983789,5119.650943598869,"purchased","straight line"
229,"Eugene","in use","hardware",85833.28660101525,8.997605344296305,5840.984036329745,"purchased","straight line"
230,"Larry","in repair","hardware",52978.62506116873,2.7505259942636044,8453.502420683244,"purchased","straight line"
231,"Louis","in storage","hardware",59942.33895354141,1.7319462679430995,6256.077715244341,"purchased","straight line"
232,"Dennis","in storage","hardware",18142.344029321124,7.965708422286161,9757.04445687638,"purchased","straight line"
233,"Nathan","in storage","hardware",60811.091370397386,1.0532480100785635,135.02869970787978,"purchased","straight line"
234,"Bryan","in transit","hardware",89617.27272120351,5.688665431739977,2674.4438223162538,"purchased","straight line"
235,"Robert","disposed","hardware",18054.8443962957,4.668827322691748,9819.256827528141,"purchased","straight line"
236,"Kyle","in use","hardware",12295.975531074111,1.8110952129923616,8677.253516044804,"purchased","straight line"
237,"Charles","in use","hardware",39913.9375907509,2.4446315065569557,7441.107169025041,"purchased","straight line"
238,"Jordan","in use","hardware",49683.80529896702,1.4117495846361812,4806.830768376651,"purchased","straight line"
239,"Logan","other","hardware",37978.500709563275,6.233667955022518,6471.364994551676,"purchased","straight line"
240,"George","disposed","hardware",28933.374559869608,9.91205694303735,661.4120933904777,"purchased","straight line"
241,"Jack","disposed","hardware",13501.48134553082,9.643849087646338,5035.768930868691,"purchased","straight line"
242,"Bobby","in use","hardware",61214.59911422441,4.8427666284076265,5629.536366712524,"purchased","straight line"
243,"Gregory","in use","hardware",72307.15202626244,3.965039163578776,7030.110595076319,"purchased","straight line"
244,"Nicholas","in repair","hardware",28025.270648391754,9.1138732865893,4684.470818305266,"purchased","straight line"
245,"Joe","in repair","hardware",41099.508304464485,5.413026906916462,5471.0270586796505,"purchased","straight line"
246,"Adam","in repair","hardware",41650.32464741702,5.344514365815283,3487.597783888786,"purchased","straight line"
247,"Bradley","in repair","hardware",94615.56408107915,4.4759528004137445,3203.222921024943,"purchased","straight line"
248,"James","in transit","hardware",52285.826636142694,2.728580825149749,2151.9951745001763,"purchased","straight line"
249,"Jeremy","other","hardware",72217.9434265134,1.08578992525797,2083.70355632301,"purchased","straight line"
250,"Randy","disposed","hardware",36012.36309678859,8.122603669797732,4683.073833389698,"purchased","straight line"
251,"Jason","in transit","hardware",54694.31197258063,9.868916562960031,3443.741331185678,"purchased","straight line"
252,"Anthony","in use","hardware",79501.91016482929,4.50157478407475,6289.731087850868,"purchased","straight line"
253,"Jacob","in transit","hardware",65703.12961371333,3.490045473817675,6740.680761698573,"purchased","straight line"
254,"Noah","in repair","hardware",38685.92918805861,9.56338049665179,9281.745753128442,"purchased","straight line"
255,"Henry","in repair","hardware",40825.25708263039,9.272930678296332,6540.660433831381,"purchased","straight line"
256,"Patrick","in storage","hardware",89798.47318272658,7.098763166002824,4077.6818028957805,"purchased","straight line"
257,"Edward","in use","hardware",865.7221500691481,5.481454687634643,2731.270732725437,"purchased","straight line"
258,"Frank","disposed","hardware",65841.58233453715,5.426170765066411,9473.590369965144,"purchased","straight line"
259,"Joseph","other","hardware",46581.38594343079,1.842044832486101,645.9797801114497,"purchased","straight line"
260,"Michael","other","hardware",85913.43780182216,1.436695854600039,4864.400917017752,"purchased","straight line"
261,"Ryan","in use","hardware",54468.367846124565,6.872960945553377,3481.553838596726,"purchased","straight line"
262,"Lawrence","other","hardware",64227.341329172086,5.41686092227499,1530.7172010075599,"purchased","straight line"
263,"Bradley","in repair","hardware",93493.52752578503,1.137647696030979,2873.664503135528,"purchased","straight line"
264,"Walter","in use","hardware",6683.961063331844,7.996982439270193,7601.691730411616,"purchased","straight line"
265,"Jason","in transit","hardware",33618.397298113334,3.107771491071087,4292.244015870987,"purchased","straight line"
266,"Eric","in use","hardware",53251.187738525026,8.163325838910536,2492.528628734634,"purchased","straight line"
267,"Jose","in storage","hardware",49649.85865611891,6.545819788592162,2621.5188005901114,"purchased","straight line"
268,"Raymond","in storage","hardware",97801.06417440044,6.421074429435128,6738.804029189795,"purchased","straight line"
269,"Edward","in storage","hardware",39711.99736170754,2.416311552118909,1269.5045756512025,"purchased","straight line"
270,"Brandon","other","hardware",66760.89563186916,9.731277320259483,755.4613931411602,"purchased","straight line"
271,"David","in storage","hardware",75721.04230268554,3.094479028583751,9057.994762297578,"purchased","straight line"
272,"Andrew","in use","hardware",94996.78318957856,8.710707710887032,3270.3810631455167,"purchased","straight line"
273,"Noah","in transit","hardware",39254.53523671218,6.466265898352255,1553.5373534955233,"purchased","straight line"
274,"Aaron","in use","hardware",49978.161279231856,6.541704437124393,7893.009808210263,"purchased","straight line"
275,"Donald","in repair","hardware",35834.6965621388,7.945059918784876,7936.714536258965,"purchased","straight line"
276,"Noah","in use","hardware",43118.47035584268,2.8805212043572834,7215.1814150191585,"purchased","straight line"
277,"Dylan","in repair","hardware",37009.13820021702,5.72972369484555,5936.088878566833,"purchased","straight line"
278,"Steven","disposed","hardware",8945.942352122105,6.469850356411061,6562.422132597583,"purchased","straight line"
279,"Kevin","in transit","hardware",41154.812385526566,4.518945357165734,7981.584683971178,"purchased","straight line"
280,"Samuel","in storage","hardware",32160.93452070594,5.6223881142331384,338.4822287171674,"purchased","straight line"
281,"Ralph","in transit","hardware",60858.54672340285,6.224287651515375,4620.586002603712,"purchased","straight line"
282,"Adam","other","hardware",90183.43879673367,7.378478446944546,9290.792378689785,"purchased","straight line"
